SequenceID	N50	Contig_count	Total_length	Longest_contig
Cen08_13102015_R1_S1	2279	160125	351137115	658717	
Cen08_12102016_R1_S2	2683	101237	243866855	1053386	
Cen08_21102017_R1_S3	2816	74881	186130345	155567	
Cen08_04102018_R1_S4	3067	69059	177362065	303328	
Cen08_15102020_R1_S5	3389	72853	195537628	325882	
Cen08_06102021_R1_S6	3720	82965	234730043	631307	
Cen11_12102015_R1_S7	2024	138368	288073727	278524	
Cen11_11102016_R1_S8	2221	129881	281691484	647046	
Cen11_20102017_R1_S9	2358	163879	374766051	895580	
Cen11_03102018_R1_S10	2626	144335	345423017	987027	
Cen11_06102019_R1_S11	2701	82766	201039944	855103	
Cen11_13102020_R1_S12	2047	118956	238107306	71568	
Cen11_06102021_R1_S13	2182	71500	151498571	303453	
Cen14_12102015_R1_S14	4394	117428	374847644	901286	
Cen14_11102016_R1_S15	6604	110577	403592710	937175	
Cen14_19102017_R1_S16	3155	121111	318405198	717853	
Cen14_02102018_R1_S17	4877	118460	387227442	901280	
Cen14_06102019_R1_S18	3771	123103	358796064	883014	
Cen14_13102020_R1_S19	2670	106684	262291366	1293213	
Cen14_05102021_R1_S20	2798	97150	239260764	1265966	
Cen15_12102015_R1_S21	5157	128596	440403073	1037399	
Cen15_11102016_R1_S22	7193	120958	459008620	960662	
Cen15_19102017_R1_S23	3797	145031	425783382	813692	
Cen15_02102018_R1_S24	3459	144158	397881104	643680	
Cen15_06102019_R1_S25	2918	45047	112422555	470205	
Cen15_13102020_R1_S26	3463	113636	312812197	2060246	
Cen15_05102021_R1_S27	2858	99775	258547356	915079	
Cen16_12102015_R1_S28	2696	142749	347970221	828568	
Cen16_11102016_R1_S29	2784	143271	351210329	2423317	
Cen16_19102017_R1_S30	3771	71367	203652565	3243675	
Cen16_02102018_R1_S31	2708	115981	279324043	832243	
Cen16_06102019_R1_S32	2928	147813	377442901	2264022	
Cen16_15102020_R1_S33	3109	107954	282993089	998537	
Cen16_05102021_R1_S34	2963	142040	365981807	2177591	
Cen17_12102015_R1_S35	1458	32436	49409001	43291	
Cen17_12102016_R1_S36	1821	110909	208504520	312323	
Cen17_21102017_R1_S37	1478	31726	51312983	243625	
Cen17_03102018_R1_S38	1526	25206	42231953	134148	
Cen17_06102019_R1_S39	1517	52161	82649230	53302	
Cen17_14102020_R1_S40	1575	38196	63932648	121107	
Cen17_05102021_R1_S41	1502	18915	30147416	66439	
Cen19_12102015_R1_S42	4188	183930	558956168	1562083	
Cen19_11102016_R1_S43	7537	98344	387090322	2346858	
Cen19_19102017_R1_S44	6338	89093	324744972	1496731	
Cen19_02102018_R1_S45	5051	117000	378578881	1690910	
Cen19_06102019_R1_S46	2814	118285	301729243	1263664	
Cen19_13102020_R1_S47	3685	102505	291470536	1174055	
Cen19_05102021_R1_S48	2938	120273	306633097	797129	
Cen21_12102015_R1_S49	7997	107426	419858096	3014071	
Cen21_11102016_R1_S50	7301	138350	531085627	1234492	
Cen21_19102017_R1_S51	6302	107230	383560699	992864	
Cen21_02102018_R1_S52	2161	131435	281481763	1013129	
Cen21_06102019_R1_S53	2982	136882	358586810	1789082	
Cen21_13102020_R1_S54	2876	117941	299851161	525405	
Cen21_05102021_R1_S55	2882	163041	414815233	521355	
Cen22_12102015_R1_S56	11958	85783	404428333	1907411	
Cen22_11102016_R1_S57	7259	108878	432565722	2072426	
Cen22_20102017_R1_S58	6325	163716	606439961	2160330	
Cen22_03102018_R1_S59	4031	191867	585602205	1469064	
Cen22_06102019_R1_S60	5126	142582	488030302	1690897	
Cen22_13102020_R1_S61	5174	152990	503652415	2160791	
Cen22_07102021_R1_S62	3493	152720	424686625	1577924	
Cen23_13102015_R1_S63	1858	71816	141042993	352202	
Cen23_12102016_R1_S64	1842	116985	219169519	1138925	
Cen23_21102017_R1_S65	1837	83045	156188699	103517	
Cen23_04102018_R1_S66	1825	19974	36773187	44173	
Cen23_07102019_R1_S67	1774	83503	153966893	97317	
Cen23_15102020_R1_S68	2003	52468	105979068	89100	
Cen23_06102021_R1_S69	1795	48122	88671983	57462	
